Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2KogAeAixsmxIzDmMHKhjY,"下一位前度 in Ab major","MAJOR IN MINOR","Terence Lam",2020-10-01,275321,50,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Terence Lam Production & Co.",0.591,0.392,8,-9.737,1,0.0283,0.637,0,0.143,0.354,117.85,4
spotify:track:3Z6eOxbE55QzXsXCcSfl9O,"跟你分擔失落比較快樂","跟你分擔失落比較快樂","Kaho Hung",2024-10-08,190421,47,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","WM Hong Kong",0.722,0.645,6,-6.895,1,0.0361,0.606,0,0.15,0.423,123.958,4
spotify:track:5pnyoT0JPRJMuTfWPNBRMC,"不明文規定","不明文規定","Panther Chan",2025-03-11,231000,38,false,,2025-05-22T13:52:38Z,"cantopop","WM Hong Kong",0.649,0.661,7,-6.621,1,0.128,0.593,0,0.0939,0.372,155.979,4
spotify:track:1TcsJ21R8PMmpLcj34A02E,"幼稚未完","幼稚未完","Raymond Lam",2022-02-14,246000,42,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,mandopop","WM Hong Kong",0.493,0.638,4,-7.004,1,0.0368,0.377,0,0.099,0.184,140.064,4
spotify:track:4ki9CC7nHNDpDBcVrqT6fk,"痛痛快快活活去","痛痛快快活活去","Pandora",2025-01-27,219326,32,false,,2025-05-09T05:47:17Z,"cantopop","G-Men Entertainment Group Co Ltd.",0.559,0.62,7,-13.594,1,0.0631,0.022,0.000049,0.337,0.592,204.032,4
spotify:track:1UZlZsrVDx7b2fSLZJgB3K,"晨星","TO WHOM IT MAY CONCERN","Yan Ting",2024-07-05,237086,45,false,,2025-05-09T05:47:17Z,"cantopop","Universal Music Ltd.",0.55,0.363,1,-8.203,1,0.0316,0.612,0,0.106,0.317,129.815,4
spotify:track:7iQdInUqIpVdatCooLZC3A,"風的形狀","風的形狀","Yoyo Sham",2021-07-22,206722,47,false,,2025-05-09T05:47:17Z,"cantopop,mandopop,c-pop,taiwanese pop,chinese indie","如此",0.313,0.28,0,-14.236,1,0.0362,0.948,0.00595,0.0605,0.254,153.02,3
spotify:track:77yGaZcLVdw8bKqNKC9kOI,"可惜我們沒有...the next episode","可惜我們沒有...the next episode","Gin Lee;Gordon Flanders",2024-12-03,251281,30,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,mandopop,chinese r&b","EEG Music",0.67,0.356,9,-11.033,1,0.0621,0.744,0.000022,0.087,0.322,114.896,4
spotify:track:35pDgGzJ1ssvKwSvOWZC0G,"關於後悔","關於後悔","Jason Chan",2025-01-10,234445,41,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Sony Music Entertainment",0.619,0.571,2,-6.692,1,0.0378,0.366,0,0.108,0.32,127.946,4
spotify:track:688wipwWNbVMPE9ACylRo5,"細間始終你好","細間始終你好","Sabrina Cheung 張蔓莎",2024-08-22,228367,33,false,,2025-05-09T05:47:17Z,"cantopop","One Cool Music (HK) Limited",0.704,0.466,1,-7.846,1,0.0434,0.785,0,0.111,0.453,117.87,4
spotify:track:6pJT4f6S8GPQ7hWCDvygrN,"2084","2084","Dear Jane",2019-07-08,316991,50,false,,2025-05-09T05:47:17Z,"cantopop,v-pop,c-pop,taiwanese pop","WM Hong Kong",0.361,0.846,4,-3.717,1,0.0337,0.132,0.0000653,0.286,0.443,104.932,4
spotify:track:1eFbcn9JmUe57fwf6MZL01,"慢半拍","FLANDERS","Gordon Flanders",2023-12-15,228764,38,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","Daymaker Creatives",0.346,0.495,4,-8.48,1,0.0361,0.54,0.00000464,0.117,0.216,122.908,4
spotify:track:3dxgTCIZfzyP5LuNwV9KyW,"反引力塵","反引力塵","Pandora",2024-07-12,216755,27,false,,2025-05-09T05:47:17Z,"cantopop","G-Men Entertainment Group Co Ltd.",0.613,0.576,7,-6.504,1,0.027,0.0564,0,0.374,0.421,147.974,4
spotify:track:6dtBNUWQQ5H9euoEj34o0S,"十分錯 (with MC 張天賦)","十分錯 (with MC 張天賦)","Jude;MC 張天賦",2020-10-29,221800,45,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.652,0.628,0,-6.279,1,0.0313,0.337,0,0.132,0.42,130.005,4
spotify:track:1b3RrSZo4YlfMld5CwwFez,"外星少女失語症","外星少女失語症","sica",2024-08-02,183701,35,false,,2025-05-09T05:47:17Z,"cantopop","Music Nation Records Co Ltd.",0.594,0.57,10,-6.382,1,0.0239,0.392,0,0.272,0.723,92.076,4
spotify:track:30oOj7kQ6o0sMj2y5F0zwU,"回憶半分鐘 (feat. Gordon Flanders) - Aurora Version","回憶半分鐘 (feat. Gordon Flanders) [Aurora Version]","Cloud 雲浩影;Gordon Flanders",2024-03-14,227419,36,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","Media Asia Music Limited",0.563,0.425,6,-9.915,1,0.044,0.843,0,0.118,0.174,123.797,4
spotify:track:7wDHnKKyw7GSw9ihEHTXm3,"賽勒斯的愛","賽勒斯的愛","Hins Cheung",2022-05-12,249343,52,false,,2025-05-09T05:47:17Z,"cantopop,mandopop,c-pop,taiwanese pop","EEG Music",0.497,0.426,3,-8.605,1,0.0318,0.552,0,0.254,0.335,139.577,4
spotify:track:1wbex2AZ9pwXpaGXsBJvb1,"Red Flag","Red Flag","Amy Lo",2025-04-29,172690,33,false,,2025-07-17T09:26:39Z,"cantopop","Media Asia Music Limited",0.682,0.581,5,-6.003,0,0.073,0.665,0,0.392,0.637,75.054,4
spotify:track:2LonowuvcTK5h5dpIWs4dP,"Drunk Call","Drunk Call","Zpecial",2024-05-07,201194,29,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.653,0.492,10,-8.413,1,0.135,0.595,0,0.128,0.379,126.027,4
